'motion', 'color', 'geometry', 'group', 'item'
3,0.0,0.0,0.0,0
3,0.0,0.0,0.0,1
3,0.0,0.0,0.0,2
3,0.0,0.0,0.0,3
3,0.0,0.0,0.0,4
3,0.0,0.0,0.0,5
3,0.0,0.0,0.0,6
3,0.0,0.0,0.0,7
3,0.0,0.0,0.0,8
3,0.0,0.0,0.0,9
3,0.0,0.0,0.0,10
3,0.0,0.0,0.0,11
3,0.0,0.0,0.0,12
3,0.0,0.0,0.0,13
3,0.0,0.0,0.0,14
3,0.0,0.0,0.0,15
3,0.0,0.0,0.0,16
3,0.0,0.0,0.0,17
3,0.0,0.0,0.0,18
3,0.0,0.0,0.0,19
3,0.0,0.0,0.0,20
3,0.0,0.0,0.0,21
3,0.0,0.0,0.0,22
3,0.0,0.0,0.0,23
3,0.0,0.0,0.0,24
3,0.0,0.0,0.0,25
3,0.0,0.0,0.0,26
3,0.0,0.0,0.0,27
2,0.833611589670181,0.7933440089225767,0.9492675503094987,4
2,0.5473358313242591,0.6735052347183226,0.7843793114026387,5
1,0.7584075252215068,0.5203315993150075,0.9462531924247739,16
0,0.6706535935401914,0.6135422448317209,0.6593657424052553,13
2,0.7608771244684855,0.5671586712201435,0.8817401429017382,12
2,0.7999158064524332,0.5680030087629953,0.8157551437616348,4
2,0.7502737601598102,0.7777622381846108,0.920125032464663,5
2,0.812029093503952,0.7079619725545245,0.9106862475474675,13
2,0.8648376266161599,0.6691672205924988,0.9200593352317807,12
2,0.4549573600292205,0.43051365713278433,0.25850481440623585,4
2,0.7725014468034108,0.813038925329844,0.9071128686269123,5
2,0.8072668790817259,0.6588523427645363,0.8460466643174489,13
2,0.7795558412869767,0.659522767861684,0.8064176678657531,12
2,0.7717252731323239,0.7018761436144509,0.953097565968831,4
2,0.7384981791178382,0.7758541345596313,0.8807738224665322,5
1,0.47285705010096213,0.37867083152135206,0.5364910205205278,16
2,0.7345515986283617,0.7507302880287168,0.8635905086994171,13
2,0.4963078220685322,0.48163576523462925,0.623438270886739,12
2,0.8333288292090097,0.8074284156163531,0.9538650353749589,4
2,0.7667903701464334,0.76894504626592,0.895876344045003,5
0,0.7177539999999998,0.625616,0.8077559999999999,13
1,0.8293589999999997,0.5495369999999999,0.8181629999999998,16
1,0.6008529999999999,0.36281699999999995,0.5894789999999999,16
2,0.8242579999999999,0.7475739999999997,0.784697,16
2,0.8012899999999998,0.769072,0.799877,16
2,0.7947989999999998,0.7186699999999999,0.866288,16
1,0.7366429999999999,0.4599099999999998,0.7626679999999997,16
0,0.67624,0.5599719999999997,0.7213849999999997,13
0,0.4782409999999999,0.5420289999999999,0.7246769999999998,13
2,0.8362829999999999,0.7348339999999998,0.9110579999999997,13
2,0.8242089999999997,0.7641259999999996,0.9043739999999998,13
2,0.759191,0.7551739999999998,0.740332,13
2,0.771938,0.7429509999999997,0.782829,13
2,0.862711,0.837037,0.9539069999999996,13
0,0.5286029999999999,0.5311119999999998,0.6587359999999998,13
0,0.661251,0.542637,0.661057,13
0,0.7212739999999997,0.7536159999999996,0.8185119999999997,13
2,0.7794673283894853,0.6857966740926105,0.8438103636105851,16
2,0.893782313664754,0.7842749476432798,0.8520917415618894,16
2,0.8053655743598935,0.6787943760553996,0.9255547205607093,13
2,0.7638531923294067,0.7661597808202107,0.8438838839530942,12
2,0.8655750830968221,0.7714961687723796,0.8538609067598979,16
2,0.808227,0.6758499999999996,0.7464919999999999,13
2,0.7929379999999999,0.6039779999999997,0.7587829999999998,13
2,0.7929379999999999,0.6039779999999997,0.7587829999999998,13
2,0.8209337194760638,0.6614640673001606,0.8826252023379006,13
